text,label,label_id,topic,source,original_split
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",Tích cực,2,0,UIT-VSFC,train
hy vọng học kỳ sau có thể học được với cô .,Tích cực,2,0,UIT-VSFC,train
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,Tiêu cực,0,1,UIT-VSFC,train
trong khi giảng nói nhỏ quá .,Tiêu cực,0,0,UIT-VSFC,train
thực hành khó hiểu .,Tiêu cực,0,1,UIT-VSFC,train
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",Tích cực,2,0,UIT-VSFC,train
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",Tích cực,2,0,UIT-VSFC,train
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",Tích cực,2,0,UIT-VSFC,train
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",Tiêu cực,0,0,UIT-VSFC,train
"thầy nhiệt tình , dễ chịu .",Tích cực,2,0,UIT-VSFC,train
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",Tiêu cực,0,0,UIT-VSFC,train
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,Tích cực,2,0,UIT-VSFC,train
cô rất nhiệt tình và tận dụng tốt thời gian .,Tích cực,2,1,UIT-VSFC,train
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",Tích cực,2,0,UIT-VSFC,train
"thầy nhiệt tình , gần gũi .",Tích cực,2,0,UIT-VSFC,train
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",Tích cực,2,0,UIT-VSFC,train
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,Bình thường,1,0,UIT-VSFC,train
bài tập và có code tham khảo .,Tích cực,2,1,UIT-VSFC,train
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",Tiêu cực,0,2,UIT-VSFC,train
tài liệu không chi tiết lắm .,Tiêu cực,0,1,UIT-VSFC,train
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",Tích cực,2,0,UIT-VSFC,train
thầy dạy rất hay và nhiệt tình .,Tích cực,2,0,UIT-VSFC,train
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",Tiêu cực,0,0,UIT-VSFC,train
giúp đỡ học sinh quá ít .,Tiêu cực,0,0,UIT-VSFC,train
cô dạy buồn ngủ quá .,Tiêu cực,0,0,UIT-VSFC,train
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,Tiêu cực,0,1,UIT-VSFC,train
thầy tận tình vui tính .,Tích cực,2,0,UIT-VSFC,train
cô lại kiểu khó tính nữa .,Tiêu cực,0,0,UIT-VSFC,train
tạo hứng thú cho sinh viên .,Tích cực,2,0,UIT-VSFC,train
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,Tích cực,2,0,UIT-VSFC,train
có hứng thú học .,Tích cực,2,0,UIT-VSFC,train
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,Bình thường,1,1,UIT-VSFC,train
"giảng viên hướng dẫn cụ thể , chi tiết .",Tích cực,2,0,UIT-VSFC,train
giáo trình quá ít và nội dung không khác nhau là mấy .,Tiêu cực,0,1,UIT-VSFC,train
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",Tiêu cực,0,0,UIT-VSFC,train
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",Tiêu cực,0,0,UIT-VSFC,train
"cần có một phòng máy tốt hơn , hiện đại hơn .",Tiêu cực,0,2,UIT-VSFC,train
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,Tiêu cực,0,0,UIT-VSFC,train
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",Tiêu cực,0,0,UIT-VSFC,train
giảng viên đánh giá sai điểm và năng lực của học sinh .,Tiêu cực,0,0,UIT-VSFC,train
không đáp ứng được đề cương môn học đề ra .,Tiêu cực,0,1,UIT-VSFC,train
thầy nên hướng dẫn thực hành nhiều hơn .,Tiêu cực,0,0,UIT-VSFC,train
"giảng viên thân thiện , quan tâm tới sinh viên .",Tích cực,2,0,UIT-VSFC,train
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",Tiêu cực,0,1,UIT-VSFC,train
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",Tích cực,2,0,UIT-VSFC,train
thầy dạy rất tốt và nhiệt tình .,Tích cực,2,0,UIT-VSFC,train
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",Tiêu cực,0,0,UIT-VSFC,train
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",Tiêu cực,0,0,UIT-VSFC,train
bài tập và hoạt động nhóm còn ít .,Tiêu cực,0,1,UIT-VSFC,train
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",Tích cực,2,0,UIT-VSFC,train
cô hướng dẫn thực hành khá đầy đủ .,Tích cực,2,0,UIT-VSFC,train
được học nhiều kinh nghiệm từ thầy wzjwz163 .,Tích cực,2,0,UIT-VSFC,train
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",Tích cực,2,0,UIT-VSFC,train
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,Tiêu cực,0,1,UIT-VSFC,train
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,Tiêu cực,0,2,UIT-VSFC,train
dạy không phù hợp với cách học của em .,Tiêu cực,0,0,UIT-VSFC,train
giải thích nội dung mới rõ ràng .,Tích cực,2,0,UIT-VSFC,train
lớp học quá đông !,Tiêu cực,0,1,UIT-VSFC,train
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",Tiêu cực,0,1,UIT-VSFC,train
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",Tiêu cực,0,0,UIT-VSFC,train
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",Tiêu cực,0,1,UIT-VSFC,train
tôi cảm thấy giảng viên dạy rất tốt .,Tích cực,2,0,UIT-VSFC,train
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",Tiêu cực,0,0,UIT-VSFC,train
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,Tiêu cực,0,3,UIT-VSFC,train
giảng viên thân thiện nhiệt tình cởi mở .,Tích cực,2,0,UIT-VSFC,train
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",Tích cực,2,0,UIT-VSFC,train
coi lại thái độ giảng viên thực hành .,Tiêu cực,0,0,UIT-VSFC,train
"giảng viên nhiệt tình , giải nhiều bài tập .",Tích cực,2,0,UIT-VSFC,train
bài giảng của thầy rất nhiệt tình .,Tích cực,2,0,UIT-VSFC,train
"môn học chưa thực tiễn , chưa thu hút sinh viên .",Tiêu cực,0,1,UIT-VSFC,train
dạy hơi nhanh !,Tiêu cực,0,0,UIT-VSFC,train
ít làm bài tập .,Tiêu cực,0,1,UIT-VSFC,train
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",Tiêu cực,0,0,UIT-VSFC,train
"giảng viên nhiệt tình , bài giảng thu hút .",Tích cực,2,0,UIT-VSFC,train
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",Tích cực,2,0,UIT-VSFC,train
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,Tiêu cực,0,1,UIT-VSFC,train
cần thêm nhiều tài liệu cho sinh viên .,Tiêu cực,0,1,UIT-VSFC,train
bài tập trên lớp .,Bình thường,1,1,UIT-VSFC,train
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,Tiêu cực,0,1,UIT-VSFC,train
thầy nhiệt tình dễ hiểu .,Tích cực,2,0,UIT-VSFC,train
thực hành và lý thuyết nên dạy song song .,Tiêu cực,0,1,UIT-VSFC,train
giảng viên dạy nhanh .,Tiêu cực,0,0,UIT-VSFC,train
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,Tiêu cực,0,1,UIT-VSFC,train
giảng viên cho bài tập hay .,Tích cực,2,0,UIT-VSFC,train
cập nhật bài tập mới .,Tiêu cực,0,1,UIT-VSFC,train
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",Tiêu cực,0,0,UIT-VSFC,train
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",Tích cực,2,0,UIT-VSFC,train
phản hồi giải đáp thắc mắc cho sinh viên .,Tích cực,2,0,UIT-VSFC,train
dạy quá nhanh .,Tiêu cực,0,0,UIT-VSFC,train
mong ban thiết bị sớm khắc phục ạ !,Tiêu cực,0,2,UIT-VSFC,train
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,Tiêu cực,0,1,UIT-VSFC,train
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",Tiêu cực,0,0,UIT-VSFC,train
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",Tích cực,2,0,UIT-VSFC,train
"cô dạy rất tận tình , dễ hiểu .",Tích cực,2,0,UIT-VSFC,train
không đáp ứng được nhu cầu của sinh viên .,Tiêu cực,0,1,UIT-VSFC,train
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,Tích cực,2,0,UIT-VSFC,train
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,Tích cực,2,0,UIT-VSFC,train
"nhiệt tình , dễ thương .",Tích cực,2,0,UIT-VSFC,train
không hướng dẫn đồ án .,Tiêu cực,0,0,UIT-VSFC,train
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,Tiêu cực,0,1,UIT-VSFC,train
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",Tiêu cực,0,0,UIT-VSFC,train
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",Tiêu cực,0,0,UIT-VSFC,train
đề thi môn dài sinh viên làm không đủ thời gian .,Tiêu cực,0,3,UIT-VSFC,train
cho làm nhiều bài test .,Tiêu cực,0,0,UIT-VSFC,train
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,Tiêu cực,0,2,UIT-VSFC,train
cần thêm nhiều tài liệu cho môn học .,Tiêu cực,0,1,UIT-VSFC,train
thầy giảng dạy tốt .,Tích cực,2,0,UIT-VSFC,train
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,Tiêu cực,0,0,UIT-VSFC,train
thầy cần cho bài tập và hướng dẫn nhiều hơn .,Tiêu cực,0,0,UIT-VSFC,train
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",Tích cực,2,0,UIT-VSFC,train
em thấy thầy chỉ giảng cho có .,Tiêu cực,0,0,UIT-VSFC,train
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,Tiêu cực,0,1,UIT-VSFC,train
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",Tích cực,2,0,UIT-VSFC,train
dạy theo sát chương trình .,Tích cực,2,0,UIT-VSFC,train
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,Tiêu cực,0,2,UIT-VSFC,train
đề nghị nâng cấp phòng lab khoa mạng .,Tiêu cực,0,2,UIT-VSFC,train
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",Tích cực,2,0,UIT-VSFC,train
đi dạy đúng giờ .,Tích cực,2,0,UIT-VSFC,train
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",Tích cực,2,0,UIT-VSFC,train
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,Tích cực,2,0,UIT-VSFC,train
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,Tiêu cực,0,1,UIT-VSFC,train
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",Tích cực,2,0,UIT-VSFC,train
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",Tiêu cực,0,0,UIT-VSFC,train
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,Tiêu cực,0,0,UIT-VSFC,train
cô khá tận tâm cho học sinh .,Tích cực,2,0,UIT-VSFC,train
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",Tiêu cực,0,1,UIT-VSFC,train
giảng viên có khả năng truyền đạt kiến thức tốt .,Tích cực,2,0,UIT-VSFC,train
cho làm nhiều bài tập .,Tiêu cực,0,0,UIT-VSFC,train
nghiên cứu khoa học .,Bình thường,1,3,UIT-VSFC,train
"giáo viên dạy rất tận tâm , nhiệt tình .",Tích cực,2,0,UIT-VSFC,train
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,Tiêu cực,0,0,UIT-VSFC,train
chỉ thông báo trên lớp sẽ khó tránh sai sót .,Tiêu cực,0,3,UIT-VSFC,train
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,Tiêu cực,0,0,UIT-VSFC,train
đề nghị lắp thêm quạt .,Tiêu cực,0,2,UIT-VSFC,train
dạy kỹ .,Tích cực,2,0,UIT-VSFC,train
bài tập cần đa dạng hơn .,Tiêu cực,0,1,UIT-VSFC,train
nói rất nhỏ .,Tiêu cực,0,0,UIT-VSFC,train
có lúc làm bài sai giáo viên nói làm hơi tự ái .,Tiêu cực,0,0,UIT-VSFC,train
không sửa các bài tập thực hành .,Tiêu cực,0,0,UIT-VSFC,train
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,Tiêu cực,0,1,UIT-VSFC,train
làm bài tập nhiều mặc dù không hiểu lắm .,Tiêu cực,0,1,UIT-VSFC,train
thi thoảng nghỉ học không thông báo trên daa .,Tiêu cực,0,0,UIT-VSFC,train
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",Tích cực,2,0,UIT-VSFC,train
"thầy giảng dạy nhiệt tình , truyền cảm .",Tích cực,2,0,UIT-VSFC,train
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",Tích cực,2,0,UIT-VSFC,train
truyền đạt những kiến thức tốt .,Tích cực,2,0,UIT-VSFC,train
cô vui tính .,Tích cực,2,0,UIT-VSFC,train
nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,Tiêu cực,0,0,UIT-VSFC,train
cô chưa có nhiều kênh bài tập cho sinh viên .,Tiêu cực,0,0,UIT-VSFC,train
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,Tiêu cực,0,3,UIT-VSFC,train
thầy dạy hơi nhanh .,Tiêu cực,0,0,UIT-VSFC,train
ít hướng dẫn sinh viên trong giờ thực hành .,Tiêu cực,0,0,UIT-VSFC,train
không thực hành được buổi nào .,Tiêu cực,0,3,UIT-VSFC,train
"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",Tích cực,2,0,UIT-VSFC,train
"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",Bình thường,1,3,UIT-VSFC,train
"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",Tích cực,2,0,UIT-VSFC,train
"tân tâm , nhiệt tình trong lớp lẫn bên ngoài .",Tích cực,2,0,UIT-VSFC,train
thầy giảng dạy tận tâm nhiệt tình .,Tích cực,2,0,UIT-VSFC,train
"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",Tích cực,2,0,UIT-VSFC,train
thầy giáo dạy nhiệt tình .,Tích cực,2,0,UIT-VSFC,train
"dạy dễ hiểu , gần gũi sinh viên .",Tích cực,2,0,UIT-VSFC,train
"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",Tích cực,2,0,UIT-VSFC,train
mong thầy cố gắng trong các học kỳ sau .,Tiêu cực,0,0,UIT-VSFC,train
cần đưa ra nhiều ví dụ minh họa hơn .,Tiêu cực,0,1,UIT-VSFC,train
"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",Tích cực,2,0,UIT-VSFC,train
giảng viên không dạy một tiết thực hành nào .,Tiêu cực,0,0,UIT-VSFC,train
không !,Bình thường,1,3,UIT-VSFC,train
nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,Tiêu cực,0,0,UIT-VSFC,train
"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .",Tiêu cực,0,0,UIT-VSFC,train
máy tính cập nhật nhanh hơn .,Tiêu cực,0,2,UIT-VSFC,train
"vui , hòa đồng , nhiệt tình .",Tích cực,2,0,UIT-VSFC,train
có giúp đỡ sinh viên học tập nghiên cứu .,Tích cực,2,0,UIT-VSFC,train
"giảng viên tận tâm , nhiệt tình , ham học hỏi .",Tích cực,2,0,UIT-VSFC,train
"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",Tiêu cực,0,0,UIT-VSFC,train
"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",Tích cực,2,0,UIT-VSFC,train
mong thầy và nhà trường xem xét lại những điều em vừa nói .,Tiêu cực,0,0,UIT-VSFC,train
"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",Tích cực,2,0,UIT-VSFC,train
"thầy giáo tận tình , dạy kỹ , thường đưa ra câu hỏi để xem xét mức độ hiểu biết của sinh viên .",Tích cực,2,0,UIT-VSFC,train
cần tăng cương trao đổi giữa sinh viên và giáo viên .,Tiêu cực,0,1,UIT-VSFC,train
nói chung là nghe không bao giờ nghe rõ được .,Tiêu cực,0,3,UIT-VSFC,train
cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .,Tiêu cực,0,0,UIT-VSFC,train
"cô giáo thân thiện dễ gần , thực hành nhiều .",Tích cực,2,0,UIT-VSFC,train
chưa tiếp thu trọn vẹn .,Tiêu cực,0,0,UIT-VSFC,train
cần cải tiến trang thiết thực hành .,Tiêu cực,0,2,UIT-VSFC,train
giảng kỹ hơn .,Tiêu cực,0,0,UIT-VSFC,train
còn hơi kéo thời gian .,Tiêu cực,0,0,UIT-VSFC,train
có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .,Tích cực,2,0,UIT-VSFC,train
thầy rất hiền và kiên trì giảng dạy cho lớp mặc dù môn học này đối với em không được hứng thú lắm .,Tiêu cực,0,0,UIT-VSFC,train
đôi lúc giảng bài hơi nhanh .,Tiêu cực,0,0,UIT-VSFC,train
có một số buổi không đi dạy .,Tiêu cực,0,0,UIT-VSFC,train
thầy nhiệt tình và dạy dễ hiểu .,Tích cực,2,0,UIT-VSFC,train
"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",Tích cực,2,3,UIT-VSFC,train
"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",Tiêu cực,0,1,UIT-VSFC,train
tài liệu hỗ trợ toàn tiếng anh rất khó học .,Tiêu cực,0,1,UIT-VSFC,train
chưa nhận được gì từ môn học này .,Tiêu cực,0,3,UIT-VSFC,train
"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .",Tiêu cực,0,0,UIT-VSFC,train
bài tập mỗi tuần đều có và đầy đủ .,Tích cực,2,1,UIT-VSFC,train
em xin cảm ơn .,Tích cực,2,3,UIT-VSFC,train
thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong .,Tiêu cực,0,0,UIT-VSFC,train
đề nghị tăng thời gian thưc hành .,Tiêu cực,0,1,UIT-VSFC,train
không được làm những chuyện riêng trong lúc dạy thực hành .,Tiêu cực,0,0,UIT-VSFC,train
hỗ trợ thêm giáo trình không phải slide cho sinh viên .,Tiêu cực,0,2,UIT-VSFC,train
cô wzjwz259 rất vui và nhiệt tình .,Tích cực,2,0,UIT-VSFC,train
"giáo viện nhiệt tình , tận tâm .",Tích cực,2,0,UIT-VSFC,train
"kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",Tích cực,2,1,UIT-VSFC,train
cần thêm nhiều kit để thực hành .,Tiêu cực,0,2,UIT-VSFC,train
dạy khó hiểu quá nhanh .,Tiêu cực,0,0,UIT-VSFC,train
"luôn gần gũi , tham khảo ý kiến sinh viên và thống nhất cũng sinh viên .",Tích cực,2,0,UIT-VSFC,train
sắp xếp lịch học bù chưa hợp lý .,Tiêu cực,0,1,UIT-VSFC,train
"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .",Tiêu cực,0,1,UIT-VSFC,train
thời gian thực hành cần nhiều hơn .,Tiêu cực,0,1,UIT-VSFC,train
giảng viên rất nhiệt tình trong giảng dạy .,Tích cực,2,0,UIT-VSFC,train
slide chuẩn bị chưa tốt .,Tiêu cực,0,1,UIT-VSFC,train
thầy hay đòi hỏi sinh viên những điều hơi quá cao .,Tiêu cực,0,0,UIT-VSFC,train
cô giảng hướng dẫn nhiệt tình .,Tích cực,2,0,UIT-VSFC,train
